,B,C,D,E,F
1,data4-B1,data4-C1,data4-D1,data4-E1,data4-F1
2,data4-B2,data4-C2,data4-D2,data4-E2,data4-F2
3,data4-B3,data4-C3,data4-D3,data4-E3,data4-F3
4,data4-B4,data4-C4,data4-D4,data4-E4,data4-F4
5,data4-B5,data4-C5,data4-D5,data4-E5,data4-F5
6,data4-B6,data4-C6,data4-D6,data4-E6,data4-F6
7,data4-B7,data4-C7,data4-D7,data4-E7,data4-F7
8,data4-B8,data4-C8,data4-D8,data4-E8,data4-F8
9,data4-B9,data4-C9,data4-D9,data4-E9,data4-F9
10,data4-B10,data4-C10,data4-D10,data4-E10,data4-F10
11,data4-B11,data4-C11,data4-D11,data4-E11,data4-F11
12,data4-B12,data4-C12,data4-D12,data4-E12,data4-F12
13,data4-B13,data4-C13,data4-D13,data4-E13,data4-F13
14,data4-B14,data4-C14,data4-D14,data4-E14,data4-F14
15,data4-B15,data4-C15,data4-D15,data4-E15,data4-F15
16,data4-B16,data4-C16,data4-D16,data4-E16,data4-F16
17,data4-B17,data4-C17,data4-D17,data4-E17,data4-F17
18,data4-B18,data4-C18,data4-D18,data4-E18,data4-F18
19,data4-B19,data4-C19,data4-D19,data4-E19,data4-F19
20,data4-B20,data4-C20,data4-D20,data4-E20,Š¿š
